Currency,Date,Closing Price (VND),Open (VND),High (VND),Low (VND),,,
VNINDEX,1/5/2016,569.94,571.66,575.4,569.26,,,
VNINDEX,1/6/2016,574.57,569.5,574.57,569.5,,,
VNINDEX,1/7/2016,565.36,570.62,570.94,561.09,,,
VNINDEX,1/8/2016,560.05,562.62,563.17,556.36,,,
VNINDEX,1/11/2016,557.87,559.05,563.04,557.51,,,
VNINDEX,1/12/2016,564.26,557.36,564.26,557.36,,,
VNINDEX,1/13/2016,560.37,565.21,566.02,560.37,,,
VNINDEX,1/14/2016,553.03,555.88,556.62,550.6,,,
VNINDEX,1/15/2016,543.04,554.35,556.55,543.04,,,
VNINDEX,1/18/2016,526.37,532.54,532.54,518.16,,,
VNINDEX,1/19/2016,535.77,525.65,535.77,525.65,,,
VNINDEX,1/20/2016,529.44,532.81,536.57,529.42,,,
VNINDEX,1/21/2016,521.88,529.44,531.21,520.74,,,
VNINDEX,1/22/2016,522.24,521.88,525.83,513.82,,,
VNINDEX,1/25/2016,542.35,522.24,542.36,522.24,,,
VNINDEX,1/26/2016,537.73,534.06,542.98,531.27,,,
VNINDEX,1/27/2016,542.69,541.18,543.88,540.03,,,
VNINDEX,1/28/2016,539.47,542.01,544.73,538.59,,,
VNINDEX,1/29/2016,545.25,539.96,545.71,537.51,,,
VNINDEX,2/1/2016,540.56,545.27,548.58,540.56,,,
VNINDEX,2/2/2016,536.45,537.71,542.26,535.38,,,
VNINDEX,2/3/2016,539.07,531.11,539.07,530.23,,,
VNINDEX,2/4/2016,542.15,542.91,545.17,541.66,,,
VNINDEX,2/5/2016,544.75,540.64,545.54,540.64,,,
VNINDEX,2/15/2016,543.79,540.13,544.59,537.81,,,
VNINDEX,2/16/2016,548.05,545.72,548.89,545.72,,,
VNINDEX,2/17/2016,547.05,551.38,552.38,547.05,,,
VNINDEX,2/18/2016,552.49,550.51,555.05,549.16,,,
VNINDEX,2/19/2016,554.03,552.37,555.16,551.38,,,
VNINDEX,2/22/2016,560.71,555.31,561.44,555.31,,,
VNINDEX,2/23/2016,561.28,564.75,567.58,561.09,,,
VNINDEX,2/24/2016,568.04,559.48,569.7,557.77,,,
VNINDEX,2/25/2016,562.82,571.15,573.63,562.82,,,
VNINDEX,2/26/2016,566.11,565.61,566.8,562.39,,,
VNINDEX,2/29/2016,559.37,565.61,566.31,559.37,,,
VNINDEX,3/1/2016,561.56,560.03,565.65,560.03,,,
VNINDEX,3/2/2016,570.18,564.85,570.18,562.97,,,
VNINDEX,3/3/2016,570.39,573.06,573.88,569.39,,,
VNINDEX,3/4/2016,573.65,570.18,576.02,568.83,,,
VNINDEX,3/7/2016,576.2,575.76,580.95,575.39,,,
VNINDEX,3/8/2016,574.71,576.75,579.87,574.53,,,
VNINDEX,3/9/2016,571.71,573.47,576.32,571.48,,,
VNINDEX,3/10/2016,575.91,574.07,575.91,571.52,,,
VNINDEX,3/11/2016,577.26,576.12,580.93,574.81,,,
VNINDEX,3/14/2016,577.98,579.61,579.84,576.26,,,
VNINDEX,3/15/2016,574.04,577.98,578.96,572.59,,,
VNINDEX,3/16/2016,577.07,573.88,577.96,573.37,,,
VNINDEX,3/17/2016,579.26,581.55,583.53,579.26,,,
VNINDEX,3/18/2016,575.82,579.95,580.81,575.44,,,
VNINDEX,3/21/2016,572.27,577.65,580.83,572.27,,,
VNINDEX,3/22/2016,570.91,572.27,573.8,567.8,,,
VNINDEX,3/23/2016,574.71,570.74,575.22,570.39,,,
VNINDEX,3/24/2016,570.66,573.93,577.21,570.66,,,
VNINDEX,3/25/2016,572.08,569.48,572.48,564.88,,,
VNINDEX,3/28/2016,575.72,573.69,576,571.58,,,
VNINDEX,3/29/2016,568.28,575.63,576.07,568.28,,,
VNINDEX,3/30/2016,569.91,566.08,571.89,565.55,,,
VNINDEX,3/31/2016,561.22,569.04,570.94,561.22,,,
VNINDEX,4/1/2016,558.43,560.64,562.73,557.96,,,
VNINDEX,4/4/2016,555.82,557.56,560.92,554.3,,,
VNINDEX,4/5/2016,560.32,555.98,560.32,555.15,,,
VNINDEX,4/6/2016,567.79,561.94,567.79,560.63,,,
VNINDEX,4/7/2016,571.6,570.72,572.56,567.01,,,
VNINDEX,4/8/2016,572.34,571.21,574.46,569.09,,,
VNINDEX,4/11/2016,579.27,575.11,581.88,575.01,,,
VNINDEX,4/12/2016,579.84,580.9,582.97,577.17,,,
VNINDEX,4/13/2016,578.02,580.77,582.81,575.65,,,
VNINDEX,4/14/2016,579.49,575.69,584.81,575.69,,,
VNINDEX,4/15/2016,579.86,581.54,586.36,579.86,,,
VNINDEX,4/19/2016,568.28,578.32,578.44,568.28,,,
VNINDEX,4/20/2016,568.03,569.8,571.71,565.3,,,
VNINDEX,4/21/2016,575.73,571.19,577.41,570.71,,,
VNINDEX,4/22/2016,592.48,574.57,592.48,574.57,,,
